,id,volume,subtype,date,year,title,source,person_sentby,person_sentto,city,era,inst_sentby,inst_sentto,person_mentioned,inst_mentioned
11,frus1969-76v30_d12,frus1969-76v30,historical-document,1974-03-20,1974,12. Minutes of Secretary of State Kissinger’s Regional Staff Meeting,"Source: National Archives, RG 59, Transcripts of Secretary of State Henry Kissinger’s Staff Meeting, 1973–77, Entry 5177, Box 3, Secretary’s Analytical Staff Meeting. Secret. The following people attended the meeting: Kissinger, Rush, Sisco, Donaldson, Sonnenfeldt, McCloskey, Holton, Eagleburger, Lord, Thornton, Maw, Weiss, Tasca, Davies, Churchill, Hyland, Hartman, Springsteen, and Vest.",[],[],Washington,Richard M. Nixon,[],[],"{'Adamantios Androutsopoulos', 'J. Joseph Sisco', 'G. Hyland William', 'Henry Tasca', 'P. Rogers William', 'Andreas Papandreou', 'Davies P. Rodger', 'Benjamin Rosenthal S.', 'P. Thomas Thornton', 'Col. George Lt. Papadopoulos', 'A. Henry Kissinger', 'Lord Winston', 'Brigadier Dimitrios Gen. Ioannides'}","{'t_FMS1', 't_NATO1'}"
12,frus1969-76v30_d13,frus1969-76v30,historical-document,1974-04-18,1974,13. Interagency Intelligence Memorandum,"Source: Central Intelligence Agency, NIC Files, Job 79–R01012A. Secret; No Foreign Dissem. This memorandum was prepared under the auspices of the National Intelligence Officer for Western Europe. It was principally drafted by CIA with the participation of representatives of DIA, INR, and the intelligence components of the Departments of the Army, Navy, and Air Force.",[],[],Washington,Richard M. Nixon,[],[],"{'Andreas Papandreou', 'Constantine Karamanlis', 'Bonanos Gen. Grigorios', 'III Makarios', 'Col. George Lt. Papadopoulos'}",{'t_NATO1'}
13,frus1969-76v30_d14,frus1969-76v30,historical-document,1974-06-14,1974,14. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 594, Country Files, Middle East, Greece, Vol. IV. Secret; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Henry Tasca', 'Brigadier Dimitrios Gen. Ioannides'}",{'t_GOG1'}
14,frus1969-76v30_d15,frus1969-76v30,historical-document,1974-06-21,1974,15. Interagency Intelligence Memorandum,"Source: Central Intelligence Agency, NIC Files, Job 79–R01012A. Secret. This memorandum was prepared under the auspices of the National Intelligence Officers for Western Europe and Conventional Forces. It was principally drafted by DIA and CIA with the participation of representatives of INR and the intelligence components of the Departments of the Army, Navy, and Air Force.",[],[],Washington,Richard M. Nixon,[],[],{'Bulent Ecevit'},{'t_NATO1'}
15,frus1969-76v30_d16,frus1969-76v30,historical-document,1974-07-04,1974,16. Telegram From the Mission to the North Atlantic Treaty Organization to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 1312, Saunders Chron File, NSC Secretariat, Contingency Plans 1974, Cyprus and Greek-Turkish Contingency Plans. Secret; Priority; Limdis. Repeated to Athens and Ankara.",['Donald H. Rumsfeld'],[],Brussels,Richard M. Nixon,['the Mission to the North Atlantic Treaty Organization'],['the Department of State'],"{'Joseph Luns M.A.H.', 'Donald H. Rumsfeld'}","{'t_NATO1', 't_SYG1', 't_FRG1', 't_DPC1', 't_ASYG1'}"
16,frus1969-76v30_d17,frus1969-76v30,editorial-note,,,17. Editorial Note,,[],[],,,[],[],"{'Henry Tasca', 'Constantine Karamanlis', 'Kannellopoulos Panayiotis', 'M. Nixon Richard', 'Brigadier Dimitrios Gen. Ioannides'}",{'t_RG1'}
17,frus1969-76v30_d18,frus1969-76v30,historical-document,1974-07-26,1974,18. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, RG 84, Athens Embassy Files: Lot 78 F 134, Greece, 1974, Box 39, POL 14 ELECTIONS 1974. Secret. Repeated to London. Drafted and approved by Tasca.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Constantine Karamanlis', 'Henry Tasca'}",set()
18,frus1969-76v30_d19,frus1969-76v30,historical-document,1974-08-14,1974,19. Biographic Report,"[Source: Ford Library, National Security Adviser, NSC Staff for Europe, Canada, and Ocean Affairs: Convenience Files, 1974–1977, Box 8, Europe, Greece 1974 NSC. Secret; No Foreign Dissem. 9 pages not declassified.]",[],[],Washington,Gerald R. Ford,[],[],set(),set()
19,frus1969-76v30_d20,frus1969-76v30,historical-document,1974-08-15,1974,20. Telegram From the Embassy in Greece to the Department of State,"Source: Ford Library, National Security Adviser, Presidential Country Files for the Middle East and South Asia, Box 10, Greece, Exdis to Secretary of State 1. Secret;NIACT; Immediate; Exdis.",['Henry Tasca'],[],Athens,Gerald R. Ford,['the Embassy in Greece'],['the Department of State'],"{'Joseph Luns M.A.H.', 'Henry Tasca', 'Georgios Mavros', 'Andreas Papandreou'}","{'t_GOG1', 't_NAC1', 't_NATO1'}"
20,frus1969-76v30_d21,frus1969-76v30,historical-document,1974-08-15,1974,21. Telegram From the Embassy in Greece to the Department of State,"Source: Department of State, RG 84, Athens Embassy Files: Lot 96 F 335, Box 1, DEF 4–6 1974, Greek Withdrawal. Secret; NIACT Immediate. Drafted by Robert Pugh (POL/MIL), approved by Monteagle Stearns (DCM), and cleared in draft by General Burke (JUSMAGG) and Elizabeth Brown (POL). Repeated Immediate to the Secretary of Defense, Ankara, Nicosia, London, Thessaloniki, USNATO, JCS, USNMR SHAPE, USCINCEUR, CINCUSNAVEUR, CINCUSAFE, CINCUSAREUR, USDOCOSOUTH, and COMSIXTHFLT.",['Henry Tasca'],[],Athens,Gerald R. Ford,['the Embassy in Greece'],['the Department of State'],{'Henry Tasca'},"{'t_GOG1', 't_SOFA1', 't_JUSMAGG1', 't_NATO1', 't_USG1'}"
21,frus1969-76v30_d22,frus1969-76v30,historical-document,1974-08-29,1974,22. Paper Prepared in the Central Intelligence Agency,"Source: Central Intelligence Agency, Executive Registry, Job 80–M01048A, Box 3, Greece, Folder 17. Secret; No Foreign Dissem; No Dissem Abroad; Background Use Only; Controlled Dissem. The paper was prepared in response to Kissinger’s request for an assessment of current Greek resentment of the United States and was transmitted by a covering memorandum from Acting DCI Vernon Walters on August 29.",[],[],Washington,Gerald R. Ford,[],[],"{'Mikis Theodorakis', 'Constantine Karamanlis', 'III Makarios', 'Andreas Papandreou'}","{'t_EC1', 't_NATO1'}"
22,frus1969-76v30_d23,frus1969-76v30,historical-document,1974-08-30,1974,23. Telegram From the Department of State to the Mission to the North Atlantic Treaty Organization,"Source: Department of State, RG 84, Athens Embassy Files: Lot 96 F 335, Greece, Box 1, DEF 4–6 1974, Greek Withdrawal. Secret; Immediate; Exdis. Repeated to all NATO capitals, USCINCEUR, USLOSACLANT, USNMR SHAPE, and USDOCOSOUTH.",['Ingersoll Robert S.'],[],Washington,Gerald R. Ford,['the Department of State'],['the Mission to the North Atlantic Treaty Organization'],"{'Joseph Luns M.A.H.', 'Ingersoll Robert S.', 'Ford Gerald R.'}","{'t_GOG1', 't_USNATO1', 't_NATO1', 't_SYG1', 't_NDAC1', 't_NPG1', 't_UK1', 't_PM1', 't_FRG1', 't_NAC1', 't_AFSOUTH1', 't_DPC1'}"
23,frus1969-76v30_d24,frus1969-76v30,historical-document,1974-09-10,1974,24. Telegram From the Mission to the North Atlantic Treaty Organization to the Departments of State and Defense,"Source: Department of State, RG 84, Athens Embassy Files: Lot 96 F 335, Box 1, DEF 4–6 1974, Greek Withdrawal. Secret; Immediate; Limdis. Repeated Priority to all NATO capitals, the Mission in Geneva, USUN, Nicosia, USNMR SHAPE, USCINCEUR, and USDOCOSOUTH.",['Donald H. Rumsfeld'],[],Brussels,Gerald R. Ford,['the Mission to the North Atlantic Treaty Organization'],['the Departments of State and Defense'],"{'Constantine Karamanlis', 'Donald H. Rumsfeld', 'Georgios Mavros', 'Joseph Luns M.A.H.'}","{'t_USNATO1', 't_NATO1'}"
24,frus1969-76v30_d25,frus1969-76v30,historical-document,1974-09-16,1974,25. Telegram From the Mission to the North Atlantic Treaty Organization to the Departments of State and Defense,"Source: National Archives, RG 59, Records of Henry Kissinger, 1973–1977, Entry 5403, Box 10, Nodis Memcons, 9/74. Confidential; Immediate. Repeated Priority to all NATO capitals, USNMR SHAPE, USCINCEUR, USLOSACLANT, USDOCOSOUTH, CINCUSAREUR, CINCUSAFE, and CINCUSNAVEUR.",['Donald H. Rumsfeld'],[],Brussels,Gerald R. Ford,['the Mission to the North Atlantic Treaty Organization'],['the Departments of State and Defense'],"{'Joseph Luns M.A.H.', 'Donald H. Rumsfeld'}","{'t_GOG1', 't_NATO1', 't_SYG1', 't_SACEUR1', 't_NPG1', 't_DPC1'}"
25,frus1969-76v30_d26,frus1969-76v30,historical-document,1974-10-31,1974,26. Intelligence Memorandum,"Source: Central Intelligence Agency, DDI Files, Job 99–T01488R, Box 19, Folder 18, CIA/OSR IM 68–1/IM 75–03. Secret; No Foreign Dissem; No Dissem Abroad; Controlled Dissem; Background Use Only. This memorandum was prepared in the Theater Forces Division of the Office of Strategic Research of the Central Intelligence Agency in consultation with analysts of the Defense Intelligence Agency.",[],[],Washington,Gerald R. Ford,[],[],"{'Constantine Karamanlis', 'Brigadier Dimitrios Gen. Ioannides'}",{'t_NATO1'}
26,frus1969-76v30_d27,frus1969-76v30,historical-document,1974-11-01,1974,27. Telegram From the Embassy in Greece to the Department of State,"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, 1974–1977, Box 11, Greece, Nodis to Secretary of State 4. Secret; Immediate;Nodis. Sent with a request to pass to other posts as desired.",['B. Jack Kubisch'],[],Athens,Gerald R. Ford,['Embassy in Greece'],['Department of State'],"{'B. Jack Kubisch', 'III Makarios', 'Clerides Glaufkos', 'Andreas Papandreou'}",{'t_TOSEC1'}
27,frus1969-76v30_d28,frus1969-76v30,historical-document,1974-11-05,1974,28. Intelligence Memorandum,"Source: Central Intelligence Agency, Executive Registry, Job 80–M01048A, Box 3, Folder 17, Greece. Secret; No Foreign Dissem; Background Use Only. Prepared in the CIA. According to an attached note from [name not declassified] NIO/WE to Acting DCI Walters, November 5, the NSC requested the memorandum.",[],[],Washington,Gerald R. Ford,[],[],"{'Andreas Papandreou', 'Constantine Karamanlis', 'B. Jack Kubisch', 'Georgios Mavros', 'Averoff-Tositsas Evangelos', 'III Makarios'}","{'t_EC1', 't_KKE1', 't_NATO1', 't_GNP1', 't_EDA1', 't_EDE1', 't_ERE1'}"
28,frus1969-76v30_d29,frus1969-76v30,historical-document,1974-11-15,1974,29. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, RG 59, Central Foreign Policy Files, 1974. Secret; Niact Immediate; Limdis. Repeated to Thessaloniki.",['B. Jack Kubisch'],[],Athens,Gerald R. Ford,['Embassy in Greece'],['Department of State'],"{'B. Jack Kubisch', 'Georgios Mavros', 'Andreas Papandreou'}","{'t_GNP1', 't_SEPTEL1'}"
29,frus1969-76v30_d30,frus1969-76v30,historical-document,1974-11-20,1974,30. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, RG 84, Athens Embassy Files: Lot 78 F 134, Box 40, POL 15 GOVT 1974, July–December. Secret; Priority. Repeated to Ankara, Bonn, London, Nicosia, Ottawa, Stockholm, The Hague, USNATO, USUN, and Thessaloniki. Drafted by Gene Preston and Monteagle Stearns, who also approved, and cleared by Elizabeth Brown.",['B. Jack Kubisch'],[],Athens,Gerald R. Ford,['the Embassy in Greece'],['the Department of State'],"{'Andreas Papandreou', 'Constantine Karamanlis', '(George Baring) Cromer Earl Rowland Stanley of', 'B. Jack Kubisch', 'Averoff-Tositsas Evangelos', 'Col. George Lt. Papadopoulos', 'Markezinis Spyro', 'Alexis Johnson U.', 'Brigadier Dimitrios Gen. Ioannides'}","{'t_CIA1', 't_PASOK1'}"
30,frus1969-76v30_d31,frus1969-76v30,historical-document,1975-01-03,1975,31. Memorandum From A. Denis Clift of the National Security Council Staff to the President’s Deputy Assistant for National Security Affairs (Scowcroft),"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, Box 10, Greece 2. Confidential. Sent for action.","['A. Clift Denis', 'ADC']",['Brent C. Scowcroft'],Washington,Gerald R. Ford,[],[],"{'Brent C. Scowcroft', 'A. Clift Denis'}","{'t_NSC1', 't_NATO1'}"
31,frus1969-76v30_d32,frus1969-76v30,historical-document,1975-01-13,1975,32. Minutes of Secretary of State Kissinger’s Staff Meeting,"Source: National Archives, RG 59, Transcripts of Henry Kissinger’s Staff Meetings, Entry 5177, Box 6, Secretary’s Staff Meeting, January 13, 1975. Secret. Kissinger presided as Chairman and met with the principals of the Department or their designated alternates most mornings. These meetings generally took place in the morning.",[],['A. Henry Kissinger'],Washington,Gerald R. Ford,['Secretary of State'],[],"{'J. Joseph Sisco', 'B. Jack Kubisch', 'Arthur Hartman', 'Averoff-Tositsas Evangelos', 'James Schlesinger', 'A. Henry Kissinger', 'Helmut Sonnenfeldt “Hal”'}","{'t_NSSM1', 't_NATO1'}"
32,frus1969-76v30_d33,frus1969-76v30,historical-document,1975-01-16,1975,33. National Security Study Memorandum 215,"Source: Library of Congress, Manuscript Division, Kissinger Papers, Box CL 316, National Security Council, NSSMs. Secret. A copy was sent to the Chairman of the Joint Chiefs of Staff. The proposal for a NSSM on policy toward Greecehad first been suggested in June 1973. See Document 3. After several attempts at a draft, the need for a NSSM was deemed “OBE” on December 13, 1973, in the weeks after the internal coup in Greece. The drafts are in the National Archives, Nixon Presidential Materials, NSC Files, Box 1335, NSC Unfiled Material, 1973.",['A. Henry Kissinger'],[],Washington,Gerald R. Ford,[],[],{'A. Henry Kissinger'},"{'t_NSC1', 't_NATO1'}"
33,frus1969-76v30_d34,frus1969-76v30,historical-document,1975-02-05,1975,34. Defense Intelligence Agency Intelligence Appraisal,"Source: Ford Library, National Security Adviser, NSC Staff for Europe, Canada, and Ocean Affairs: Convenience Files, 1974–1977, Box 9, Greece, Greece 19751, NSC. Secret; No Foreign Dissem. Prepared by Robert P. Myers (DI–5). Two maps were attached but are not printed.",[],[],Washington,Gerald R. Ford,[],[],"{'Constantine Karamanlis', 'Bulent Ecevit'}",{'t_NATO1'}
34,frus1969-76v30_d35,frus1969-76v30,historical-document,1975-02-13,1975,"35. Telegram From the Department of State to Secretary of State Kissinger, in Jerusalem","Source: Ford Library, National Security Adviser, Trip Briefing Books and Cables for Henry Kissinger, 1974–1976, Box 6, 2/10–2/18/75, TOSEC 22. Secret; Immediate; Exdis. Drafted and approved by R. Kuchel (S/S–O).",['Ingersoll Robert S.'],['A. Henry Kissinger'],Washington,Gerald R. Ford,['the Department of State'],[],"{'B. Jack Kubisch', 'Ingersoll Robert S.', 'A. Henry Kissinger'}","{'t_GOG1', 't_Dept1'}"
35,frus1969-76v30_d36,frus1969-76v30,historical-document,1975-02-27,1975,36. Memorandum From the President’s Assistant for National Security Affairs (Kissinger) to President Ford,"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, Box 10, Greece 2. Secret. Sent for information. Ford initialed the memorandum, indicating that he saw it.",['A. Henry Kissinger'],['Ford Gerald R.'],Washington,Gerald R. Ford,[],[],"{'Ford Gerald R.', 'A. Henry Kissinger'}",{'t_NATO1'}
36,frus1969-76v30_d37,frus1969-76v30,historical-document,1975-03-07,1975,37. Telegram From the President’s Deputy Assistant for National Security Affairs (Scowcroft) to Secretary of State Kissinger,"Source: Ford Library, National Security Adviser, Trip Briefing Books and Cables for Henry Kissinger, 1974–1976, Box 7, 3/5–3/22/75, Tohak 2. Secret; Sensitive; Eyes Only. Sent to Borg, Adams, and Rodman for Kissinger with a request to deliver at the opening of business. Kissinger was in Egypt.",['Brent C. Scowcroft'],['A. Henry Kissinger'],Washington,Gerald R. Ford,[],[],"{'Brent C. Scowcroft', 'A. Henry Kissinger'}",{'t_TOSEC1'}
37,frus1969-76v30_d38,frus1969-76v30,historical-document,1975-03-15,1975,38. Telegram From the Department of State to the Mission to the North Atlantic Treaty Organization and the Embassy in Greece,"Source: Department of State, Athens Embassy Files: Lot 96 F 335, Box 1, DEF 4–6, 1975 Greek Withdrawal. Secret; Priority; Exdis. Also sent Priority to London, Bonn, and USNMR SHAPE.",['Ingersoll Robert S.'],[],Washington,Gerald R. Ford,['Department of State'],['the Mission to the North Atlantic Treaty Organization and the Embassy in Greece'],{'Ingersoll Robert S.'},"{'t_GOG1', 't_USNATO1', 't_NATO1', 't_UK1', 't_FRG1', 't_DPC1'}"
38,frus1969-76v30_d39,frus1969-76v30,historical-document,1975-03-21,1975,39. Memorandum From A. Denis Clift of the National Security Council Staff to Secretary of State Kissinger,"Source: Ford Library, National Security Adviser, NSC Staff for Europe, Canada, and Ocean Affairs: Convenience Files, 1974–1977, Box 10, Greece, Greek Base Negotiations 1975 (3). Secret. Sent for action. Concurred in by Clint Granger and Jan Lodal of the NSC staff. There is no indication that Kissinger saw the memorandum.",['A. Clift Denis'],['A. Henry Kissinger'],Washington,Gerald R. Ford,[],[],"{'A. Clift Denis', 'A. Henry Kissinger'}","{'t_CIA1', 't_NATO1', 't_NSDM1', 't_SRG1', 't_NSSM1'}"
39,frus1969-76v30_d40,frus1969-76v30,historical-document,1975-03-21,1975,40. Paper Prepared by the National Security Council Staff,"Source: Ford Library, NSC Institutional Files (H–Files), Box H–58, NSDM 291. Secret. Regarding the complete NSSM response, see footnote 3, Document 39.",[],[],Washington,Gerald R. Ford,[],[],{'Constantine Karamanlis'},"{'t_SOFA1', 't_D1', 't_H1', 't_NSC1', 't_NATO1', 't_AFB1', 't_UK1', 't_E1', 't_NSSM1'}"
40,frus1969-76v30_d41,frus1969-76v30,historical-document,1975-04-03,1975,41. Memorandum From A. Denis Clift of the National Security Council Staff to Secretary of State Kissinger,"Source: Ford Library, NSC Institutional Files (H–Files), Box H–33, NSSM 215. Secret. Sent for action.",['A. Clift Denis'],['A. Henry Kissinger'],Washington,Gerald R. Ford,[],[],"{'A. Clift Denis', 'A. Henry Kissinger'}","{'t_NSC1', 't_NATO1', 't_NSDM1', 't_DOD1', 't_NSSM1'}"
41,frus1969-76v30_d42,frus1969-76v30,historical-document,1975-04-04,1975,42. Memorandum From Director of Central Intelligence Colby to the President’s Assistant for National Security Affairs (Kissinger),"Source: Ford Library, National Security Adviser, Trip Briefing Books and Cables for Henry Kissinger, 1974–1976, Box 8, 4/4–4/7/75, Tohak 2. Secret.","['Colby E. William', 'Colby E. William']",['A. Henry Kissinger'],Washington,Gerald R. Ford,[],[],"{'Colby E. William', 'A. Henry Kissinger'}","{'t_DIA1', 't_INR1', 't_CIA1', 't_NSA1'}"
42,frus1969-76v30_d43,frus1969-76v30,historical-document,1975-04-08,1975,43. National Security Decision Memorandum 291,"Source: Library of Congress, Manuscript Division, Kissinger Papers, Box 315, National Security Council, NSDM, NSDM 7/74–11/76. Secret. A copy was sent to the Chairman of the Joint Chiefs of Staff.",['A. Henry Kissinger'],[],Washington,Gerald R. Ford,[],[],{'A. Henry Kissinger'},"{'t_SOFA1', 't_NSSM1', 't_NATO1'}"
43,frus1969-76v30_d44,frus1969-76v30,historical-document,1975-04-10,1975,44. Memorandum From A. Denis Clift of the National Security Council Staff to Secretary of State Kissinger,"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, 1974–1977, Box 10, Greece 3. Secret. Sent for information. A notation on the memorandum indicates Kissinger saw it.",['A. Clift Denis'],['A. Henry Kissinger'],Washington,Gerald R. Ford,[],[],"{'A. John Tzounis', 'A. Clift Denis', 'A. Henry Kissinger'}",{'t_NSC1'}
44,frus1969-76v30_d45,frus1969-76v30,historical-document,1975-04-22,1975,45. National Security Study Memorandum 222,"Source: Library of Congress, Manuscript Division, Kissinger Papers, Box CL 316, National Security Council, NSSMs. Secret; Exdis. A copy was sent to the Chairman of the Joint Chiefs of Staff.",['A. Henry Kissinger'],[],Washington,Gerald R. Ford,[],[],{'A. Henry Kissinger'},"{'t_EC1', 't_JCS1', 't_NSC1', 't_NATO1', 't_NSSM1'}"
45,frus1969-76v30_d46,frus1969-76v30,historical-document,1975-04-29,1975,46. Memorandum From the President’s Assistant for National Security Affairs (Kissinger) to President Ford,"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, 1974–1977, Box 10, Greece 3. Confidential. Sent for information. A notation on the memorandum indicates the President saw it.",['A. Henry Kissinger'],['Ford Gerald R.'],Washington,Gerald R. Ford,[],[],"{'Ford Gerald R.', 'A. Henry Kissinger'}","{'t_IMF1', 't_NATO1', 't_FMS1', 't_CCC1', 't_IBRD1', 't_FY1'}"
46,frus1969-76v30_d47,frus1969-76v30,historical-document,1975-05-06,1975,47. Memorandum From the President’s Assistant for National Security Affairs (Kissinger) to President Ford,"Source: Ford Library, National Security Adviser, Presidential Country Files for Middle East and South Asia, 1974–1977, Box 10, Greece 4. Secret. Sent for information. A notation on the memorandum indicates the President saw it.",['A. Henry Kissinger'],['Ford Gerald R.'],Washington,Gerald R. Ford,[],[],"{'Constantine Karamanlis', 'Ford Gerald R.', 'A. Henry Kissinger'}","{'t_SOFA1', 't_NATO1'}"
